stage_id,task_id,launch_time,finish_time,duration_ms,executor_cpu_time_ms,jvm_gc_time_ms,deserialize_time_ms,serialize_time_ms,peak_memory_bytes,disk_spilled_bytes,memory_spilled_bytes
1067,2324,1788185252072,1788185252102,30,23.444853,0,2,0,3407872,0,0
1067,2329,1788185252072,1788185252102,30,23.088629,0,1,0,3407872,0,0
1067,2320,1788185252072,1788185252104,32,28.336447,0,2,0,3407872,0,0
1067,2322,1788185252072,1788185252104,32,23.443701,0,1,0,3407872,0,0
1067,2330,1788185252072,1788185252104,32,23.386855,0,2,0,3407872,0,0
1067,2319,1788185252072,1788185252104,32,24.579392,0,1,0,3407872,0,0
1067,2318,1788185252072,1788185252104,32,24.521592,0,2,0,3407872,0,0
1070,2331,1788185252125,1788185252129,4,1.794245,0,2,0,8650736,0,0
1073,2332,1788185252134,1788185252140,6,2.573378,0,2,0,8650736,0,0
1077,2333,1788185252154,1788185252159,5,1.582328,0,2,0,8454128,0,0
1078,2334,1788185253431,1788185253485,54,37.608753,0,0,1,0,0,0
1079,2336,1788185253548,1788185253603,55,48.836457,0,1,0,18377216,0,0
1079,2335,1788185253548,1788185253829,281,257.026705,0,1,0,18377216,0,0
1081,2337,1788185253838,1788185253840,2,0.55445,0,0,0,0,0,0
1083,2339,1788185255301,1788185255357,56,32.421178,0,0,0,0,0,0
1085,2343,1788185255305,1788185255549,244,201.506721,26,1,0,0,0,0
1084,2341,1788185255302,1788185255669,367,330.88944,26,1,0,25165792,0,0
1082,2338,1788185255298,1788185255830,532,479.621354,26,1,0,0,0,0
1085,2342,1788185255305,1788185256305,1000,911.617467,36,1,0,0,0,0
1084,2340,1788185255302,1788185256973,1671,1589.178861,36,1,0,159383376,0,0
1089,2353,1788185257014,1788185257220,206,174.681636,10,2,0,43732832,0,0
1089,2352,1788185257014,1788185257466,452,426.264802,10,2,0,123490032,0,0
1089,2356,1788185257014,1788185257497,483,430.677036,14,3,0,123490032,0,0
1089,2346,1788185257013,1788185257497,484,453.071304,14,2,0,123490032,0,0
1089,2351,1788185257014,1788185257499,485,430.352083,14,3,0,123490032,0,0
1089,2350,1788185257013,1788185257501,488,451.142313,14,3,0,123490032,0,0
1089,2360,1788185257212,1788185257501,289,258.949511,4,7,0,100421376,0,0
1089,2347,1788185257013,1788185257505,492,455.143479,14,3,0,123490032,0,0
1089,2348,1788185257013,1788185257505,492,410.10039,14,3,0,123490032,0,0
1089,2355,1788185257014,1788185257511,497,462.076341,14,3,0,123490032,0,0
1089,2358,1788185257014,1788185257514,500,457.727475,14,3,0,123490032,0,0
1089,2345,1788185257013,1788185257514,501,471.918922,14,3,0,123490032,0,0
1089,2357,1788185257014,1788185257518,504,424.264655,14,9,0,123490032,0,0
1089,2359,1788185257014,1788185257519,505,473.903845,14,2,0,123490032,0,0
1089,2344,1788185257013,1788185257520,507,448.702371,14,12,0,123490032,0,0
1089,2354,1788185257014,1788185257520,506,464.391073,14,3,0,123490032,0,0
1089,2349,1788185257013,1788185257523,510,467.048031,14,2,0,123490032,0,0
1090,2362,1788185263852,1788185264670,818,791.157396,0,1,0,0,0,0
1090,2361,1788185263852,1788185269380,5528,5471.069638,0,1,0,0,0,0
1092,2368,1788185269388,1788185270977,1589,911.895019,80,0,0,0,0,0
1092,2376,1788185269389,1788185270992,1603,884.597922,80,0,0,0,0,0
1092,2363,1788185269388,1788185271067,1679,938.348068,80,0,0,0,0,0
1092,2370,1788185269388,1788185271077,1689,968.020309,80,0,0,0,0,0
1092,2366,1788185269388,1788185271107,1719,980.244529,80,0,0,0,0,0
1092,2364,1788185269388,1788185271153,1765,900.077193,80,0,0,0,0,0
1092,2374,1788185269389,1788185271223,1834,965.165647,80,0,0,0,0,0
1092,2371,1788185269388,1788185271227,1839,1020.911294,80,0,0,0,0,0
1092,2378,1788185269389,1788185271229,1840,1035.273763,80,0,0,0,0,0
1092,2372,1788185269388,1788185271230,1842,1049.78777,80,1,0,0,0,0
1092,2373,1788185269389,1788185271231,1842,1056.133466,80,0,0,0,0,0
1092,2367,1788185269388,1788185271232,1844,987.117009,80,0,0,0,0,0
1092,2369,1788185269388,1788185271239,1851,1018.29518,80,0,0,0,0,0
1092,2375,1788185269389,1788185271244,1855,1060.416082,80,0,0,0,0,0
1092,2377,1788185269389,1788185271246,1857,1004.161963,80,0,0,0,0,0
1092,2365,1788185269388,1788185271246,1858,1049.209769,80,0,0,0,0,0
1092,2380,1788185270992,1788185271682,690,407.377132,0,0,0,0,0,0
1092,2379,1788185270977,1788185271730,753,540.888313,0,0,0,0,0,0
1094,2383,1788185274707,1788185275915,1208,1133.580944,41,1,0,8650736,0,0
1094,2382,1788185274707,1788185280861,6154,5956.980743,115,1,0,8650736,0,0
1096,2384,1788185280895,1788185280900,5,2.62846,0,1,0,8650736,0,0
1098,2385,1788185280903,1788185280909,6,2.930597,0,1,0,8650736,0,0
1101,2386,1788185280922,1788185280925,3,1.127364,0,1,0,8454128,0,0
1103,2389,1788185282279,1788185282303,24,15.953099,0,0,0,0,0,0
1102,2388,1788185282276,1788185282457,181,173.836833,0,1,0,0,0,0
1104,2390,1788185282326,1788185282668,342,176.076533,21,1,0,2097152,0,0
1106,2391,1788185282681,1788185282710,29,22.535618,0,0,0,0,0,0
1102,2387,1788185282276,1788185283241,965,841.980663,21,1,0,0,0,0
1108,2398,1788185283267,1788185283325,58,35.175317,18,2,0,34078688,0,0
