config_id,frag_files,workload_type,scheduler_mode,repetition,run_type,query,client_start_time,client_end_time,duration_ms
frag500_multi_stream_FIFO,500,multi_stream,FIFO,1,baseline,Q12,1788183939.3169398,1788183941.145695,1828.7551403045654
frag500_multi_stream_FIFO,500,multi_stream,FIFO,1,baseline,Q14,1788183941.1464062,1788183942.853993,1707.5867652893066
frag500_multi_stream_FIFO,500,multi_stream,FIFO,1,baseline,Q18,1788183942.854804,1788183946.4450579,3590.2538299560547
frag500_multi_stream_FIFO,500,multi_stream,FIFO,2,baseline,Q1,1788183961.0767133,1788183968.1844099,7107.696533203125
frag500_multi_stream_FIFO,500,multi_stream,FIFO,2,baseline,Q3,1788183968.1849384,1788183970.436385,2251.446485519409
frag500_multi_stream_FIFO,500,multi_stream,FIFO,2,baseline,Q6,1788183970.4370303,1788183972.2235532,1786.5228652954102
frag500_multi_stream_FIFO,500,multi_stream,FIFO,2,baseline,Q12,1788183972.2242675,1788183974.0503352,1826.0676860809326
frag500_multi_stream_FIFO,500,multi_stream,FIFO,2,baseline,Q14,1788183974.0509973,1788183975.7357996,1684.8022937774658
frag500_multi_stream_FIFO,500,multi_stream,FIFO,2,baseline,Q18,1788183975.736532,1788183979.38388,3647.347927093506
frag500_multi_stream_FIFO,500,multi_stream,FIFO,2,concurrent,Q1,1788183995.9492607,1788184003.319548,7370.287179946899
frag500_multi_stream_FIFO,500,multi_stream,FIFO,2,concurrent,Q3,1788184003.3218205,1788184005.6892729,2367.452383041382
frag500_multi_stream_FIFO,500,multi_stream,FIFO,2,concurrent,Q6,1788184005.6901424,1788184007.478526,1788.3837223052979
frag500_multi_stream_FIFO,500,multi_stream,FIFO,2,concurrent,Q12,1788184007.4792223,1788184009.3466618,1867.4395084381104
frag500_multi_stream_FIFO,500,multi_stream,FIFO,2,concurrent,Q14,1788184009.3473582,1788184011.0463245,1698.9662647247314
frag500_multi_stream_FIFO,500,multi_stream,FIFO,2,concurrent,Q18,1788184011.0469902,1788184014.530184,3483.193874359131
frag500_multi_stream_FIFO,500,multi_stream,FIFO,3,concurrent,Q1,1788184030.855665,1788184038.207163,7351.498126983643
frag500_multi_stream_FIFO,500,multi_stream,FIFO,3,concurrent,Q3,1788184038.2079377,1788184040.6860654,2478.1277179718018
frag500_multi_stream_FIFO,500,multi_stream,FIFO,3,concurrent,Q6,1788184040.6867135,1788184042.513587,1826.873540878296
frag500_multi_stream_FIFO,500,multi_stream,FIFO,3,concurrent,Q12,1788184042.5143232,1788184044.397806,1883.4826946258545
frag500_multi_stream_FIFO,500,multi_stream,FIFO,3,concurrent,Q14,1788184044.3985214,1788184046.0661585,1667.6371097564697
frag500_multi_stream_FIFO,500,multi_stream,FIFO,3,concurrent,Q18,1788184046.0668674,1788184049.593852,3526.984691619873
frag500_multi_stream_FIFO,500,multi_stream,FIFO,3,baseline,Q1,1788184063.9815662,1788184071.3217537,7340.187549591064
frag500_multi_stream_FIFO,500,multi_stream,FIFO,3,baseline,Q3,1788184071.3224652,1788184073.6008985,2278.433322906494
frag500_multi_stream_FIFO,500,multi_stream,FIFO,3,baseline,Q6,1788184073.6016204,1788184075.3518374,1750.2169609069824
frag500_multi_stream_FIFO,500,multi_stream,FIFO,3,baseline,Q12,1788184075.3523498,1788184077.2024112,1850.0614166259766
